id_bvote,scrutin,annee,tour,date,num_circ,num_quartier,num_arrond,num_bureau,nb_procu,nb_inscr,nb_emarg,nb_votant,nb_bl_nul,nb_exprim,raw_row_id,candidate_source_column,votes,candidate,source_file,dataset_id,vote_share_exprimes,vote_share_registered,nb_bl,nb_nul,source_bv_id,nom,prenom,nuance,liste
5-8,Législative,2025,1,,2,19,5,8,21.0,1582.0,444.0,444.0,4.0,440.0,0.0,debouzy_louis_1,5.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.011363636363636364,0.0031605562579013905,2.0,2.0,,,,,
5-17,Législative,2025,1,,2,18,5,17,21.0,1450.0,403.0,403.0,1.0,402.0,1.0,debouzy_louis_1,1.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.0024875621890547263,0.000689655172413793,0.0,1.0,,,,,
5-21,Législative,2025,1,,2,17,5,21,19.0,1629.0,449.0,449.0,4.0,445.0,2.0,debouzy_louis_1,3.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.006741573033707865,0.001841620626151013,3.0,1.0,,,,,
7-22,Législative,2025,1,,2,28,7,22,12.0,1329.0,301.0,301.0,3.0,298.0,3.0,debouzy_louis_1,0.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.0,0.0,2.0,1.0,,,,,
5-20,Législative,2025,1,,2,18,5,20,14.0,1487.0,406.0,406.0,6.0,400.0,4.0,debouzy_louis_1,1.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.0025,0.0006724949562878278,4.0,2.0,,,,,
6-2,Législative,2025,1,,2,22,6,2,10.0,1291.0,299.0,299.0,3.0,296.0,5.0,debouzy_louis_1,3.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.010135135135135136,0.0023237800154918666,3.0,0.0,,,,,
6-8,Législative,2025,1,,2,24,6,8,5.0,1029.0,213.0,213.0,4.0,209.0,6.0,debouzy_louis_1,1.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.004784688995215311,0.0009718172983479105,4.0,0.0,,,,,
7-24,Législative,2025,1,,2,28,7,24,15.0,1141.0,294.0,294.0,6.0,288.0,7.0,debouzy_louis_1,2.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.006944444444444444,0.0017528483786152498,4.0,2.0,,,,,
5-22,Législative,2025,1,,2,17,5,22,16.0,1428.0,432.0,432.0,6.0,426.0,8.0,debouzy_louis_1,4.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.009389671361502348,0.0028011204481792717,6.0,0.0,,,,,
7-3,Législative,2025,1,,2,26,7,3,15.0,1361.0,302.0,302.0,5.0,297.0,9.0,debouzy_louis_1,2.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.006734006734006734,0.0014695077149155032,4.0,1.0,,,,,
7-20,Législative,2025,1,,2,28,7,20,5.0,1269.0,352.0,352.0,6.0,346.0,10.0,debouzy_louis_1,2.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.005780346820809248,0.0015760441292356187,5.0,1.0,,,,,
5-6,Législative,2025,1,,2,19,5,6,13.0,1420.0,426.0,426.0,3.0,423.0,11.0,debouzy_louis_1,1.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.002364066193853428,0.0007042253521126761,1.0,2.0,,,,,
5-12,Législative,2025,1,,2,19,5,12,11.0,1559.0,509.0,509.0,9.0,500.0,12.0,debouzy_louis_1,0.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.0,0.0,5.0,4.0,,,,,
7-4,Législative,2025,1,,2,25,7,4,4.0,1284.0,254.0,254.0,3.0,251.0,13.0,debouzy_louis_1,1.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.00398406374501992,0.000778816199376947,2.0,1.0,,,,,
5-16,Législative,2025,1,,2,18,5,16,9.0,1504.0,435.0,435.0,6.0,429.0,14.0,debouzy_louis_1,2.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.004662004662004662,0.0013297872340425532,4.0,2.0,,,,,
7-7,Législative,2025,1,,2,25,7,7,10.0,1373.0,364.0,364.0,2.0,362.0,15.0,debouzy_louis_1,1.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.0027624309392265192,0.0007283321194464676,2.0,0.0,,,,,
7-21,Législative,2025,1,,2,28,7,21,16.0,1553.0,398.0,398.0,5.0,393.0,16.0,debouzy_louis_1,0.0,debouzy_louis_1,elections-legislatives-2025-1ertour.parquet,elections-legislatives-2025-1ertour,0.0,0.0,4.0,1.0,,,,,
