id_bvote,scrutin,annee,tour,date,num_circ,num_quartier,num_arrond,num_bureau,nb_procu,nb_inscr,nb_emarg,nb_votant,nb_bl_nul,nb_exprim,raw_row_id,candidate_source_column,votes,candidate,source_file,dataset_id,vote_share_exprimes,vote_share_registered,nb_bl,nb_nul,source_bv_id,nom,prenom,nuance,liste
75056_0101,Municipales,2008,1.0,,,,01,01,,1047.0,,,,643.0,0.0,lacroix_marie-madeleine,6.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.00930000003427267,0.00570000009611249,,,75056_0101,LACROIX,Marie-Madeleine,LEXG,
75056_0102,Municipales,2008,1.0,,,,01,02,,887.0,,,,533.0,1.0,lacroix_marie-madeleine,5.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.009399999864399433,0.00559999980032444,,,75056_0102,LACROIX,Marie-Madeleine,LEXG,
75056_0103,Municipales,2008,1.0,,,,01,03,,1393.0,,,,776.0,2.0,lacroix_marie-madeleine,15.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.019299998879432678,0.01080000028014183,,,75056_0103,LACROIX,Marie-Madeleine,LEXG,
75056_0104,Municipales,2008,1.0,,,,01,04,,1286.0,,,,738.0,3.0,lacroix_marie-madeleine,7.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.009499999694526196,0.005400000140070915,,,75056_0104,LACROIX,Marie-Madeleine,LEXG,
75056_0105,Municipales,2008,1.0,,,,01,05,,1000.0,,,,617.0,4.0,lacroix_marie-madeleine,11.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.017799999564886093,0.010999999940395355,,,75056_0105,LACROIX,Marie-Madeleine,LEXG,
75056_0106,Municipales,2008,1.0,,,,01,06,,1140.0,,,,713.0,5.0,lacroix_marie-madeleine,11.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.015399999916553497,0.009599999524652958,,,75056_0106,LACROIX,Marie-Madeleine,LEXG,
75056_0107,Municipales,2008,1.0,,,,01,07,,1049.0,,,,621.0,6.0,lacroix_marie-madeleine,9.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.014500000514090061,0.00860000029206276,,,75056_0107,LACROIX,Marie-Madeleine,LEXG,
75056_0108,Municipales,2008,1.0,,,,01,08,,900.0,,,,482.0,7.0,lacroix_marie-madeleine,1.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.002099999925121665,0.0010999999940395355,,,75056_0108,LACROIX,Marie-Madeleine,LEXG,
75056_0109,Municipales,2008,1.0,,,,01,09,,902.0,,,,535.0,8.0,lacroix_marie-madeleine,8.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.014999999664723873,0.008899999782443047,,,75056_0109,LACROIX,Marie-Madeleine,LEXG,
75056_0110,Municipales,2008,1.0,,,,01,10,,892.0,,,,469.0,9.0,lacroix_marie-madeleine,2.0,lacroix_marie-madeleine,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.00430000014603138,0.002199999988079071,,,75056_0110,LACROIX,Marie-Madeleine,LEXG,
75056_0201,Municipales,2008,1.0,,,,02,01,,950.0,,,,523.0,10.0,dalmas_jean-pierre,4.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.007600000128149986,0.00419999985024333,,,75056_0201,DALMAS,Jean-Pierre,LEXG,
75056_0202,Municipales,2008,1.0,,,,02,02,,902.0,,,,513.0,11.0,dalmas_jean-pierre,9.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.017500000074505806,0.009999999776482582,,,75056_0202,DALMAS,Jean-Pierre,LEXG,
75056_0203,Municipales,2008,1.0,,,,02,03,,807.0,,,,423.0,12.0,dalmas_jean-pierre,1.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.0023999998811632395,0.0011999999405816197,,,75056_0203,DALMAS,Jean-Pierre,LEXG,
75056_0204,Municipales,2008,1.0,,,,02,04,,1259.0,,,,713.0,13.0,dalmas_jean-pierre,5.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.00699999975040555,0.004000000189989805,,,75056_0204,DALMAS,Jean-Pierre,LEXG,
75056_0205,Municipales,2008,1.0,,,,02,05,,1308.0,,,,759.0,14.0,dalmas_jean-pierre,17.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.02239999920129776,0.012999999336898327,,,75056_0205,DALMAS,Jean-Pierre,LEXG,
75056_0206,Municipales,2008,1.0,,,,02,06,,1308.0,,,,781.0,15.0,dalmas_jean-pierre,13.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.016599999740719795,0.00989999994635582,,,75056_0206,DALMAS,Jean-Pierre,LEXG,
75056_0207,Municipales,2008,1.0,,,,02,07,,1386.0,,,,833.0,16.0,dalmas_jean-pierre,11.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.013200000859797001,0.007900000549852848,,,75056_0207,DALMAS,Jean-Pierre,LEXG,
75056_0208,Municipales,2008,1.0,,,,02,08,,1351.0,,,,772.0,17.0,dalmas_jean-pierre,14.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.01809999905526638,0.010400000028312206,,,75056_0208,DALMAS,Jean-Pierre,LEXG,
75056_0209,Municipales,2008,1.0,,,,02,09,,1307.0,,,,674.0,18.0,dalmas_jean-pierre,3.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.0044999998062849045,0.002300000051036477,,,75056_0209,DALMAS,Jean-Pierre,LEXG,
75056_0210,Municipales,2008,1.0,,,,02,10,,1269.0,,,,745.0,19.0,dalmas_jean-pierre,13.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.017400000244379044,0.010199999436736107,,,75056_0210,DALMAS,Jean-Pierre,LEXG,
75056_0301,Municipales,2008,1.0,,,,03,01,,1340.0,,,,708.0,20.0,rubinstein-carrera_hélène,6.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.008500000461935997,0.0044999998062849045,,,75056_0301,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0302,Municipales,2008,1.0,,,,03,02,,1407.0,,,,764.0,21.0,rubinstein-carrera_hélène,8.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.010499999858438969,0.00570000009611249,,,75056_0302,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0303,Municipales,2008,1.0,,,,03,03,,1366.0,,,,753.0,22.0,rubinstein-carrera_hélène,4.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.0052999998442828655,0.002899999963119626,,,75056_0303,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0304,Municipales,2008,1.0,,,,03,04,,1487.0,,,,862.0,23.0,rubinstein-carrera_hélène,1.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.0011999999405816197,0.000699999975040555,,,75056_0304,RUBINSTEIN-CARRERA,Hélène,LEXG,
